EncodingTarget,ManualThreads,crf,no_asm,no_cabac,no_mbtree,no_scenecut,qp,Threads,aq_strength,b_bias,bframes,crfRatio,ipratio,keyint,qcomp,qpSetting,rc_lookahead,ref,scenecut,e,S,U,M,t,K,D,p,X,Z,I,O,r,s,k,x,e_mad,S_mad,U_mad,M_mad,t_mad,K_mad,D_mad,p_mad,X_mad,Z_mad,I_mad,O_mad,r_mad,s_mad,k_mad,x_mad
1,1,0,1,1,1,1,1,11,1.2,79,1,21.00000000000005,0.9999999999999999,422,0.2,35,185,2,3,7.29,0.14,5.74,10132,0,0,0,0,0,4096,0,720,0,0,0,0,0.49000000000000021,0.010000000000000009,0.0099999999999997868,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,0,0,62,5,35.90000000000026,0.30000000000000004,806,0.5,30,56,3,70,15.86,0.15,10.12,7964,0,0,0,0,0,4096,0,1568,0,0,0,0,0.92000000000000171,0.0099999999999999811,0.039999999999999147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,94,1.9000000000000006,62,9,13.699999999999987,1.0999999999999999,537,0.1,31,212,3,98,9.71,0.28,10.54,68808,0,0,0,0,0,4096,0,112,0,0,0,0,0.52000000000000135,0.049999999999999989,0.039999999999999147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,37,1.6000000000000003,-55,16,44.40000000000038,0.5,80,0.6,2,177,1,24,75.65,0.68,44.7,33488,0,0,0,0,0,4096,0,58400,0,0,0,0,0.91999999999998749,0.010000000000000009,0.049999999999997158,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11104.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,11,1.2,79,1,21.00000000000005,0.9999999999999999,422,0.2,35,185,2,3,0.0,0.0,0.0,856,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,0,0,62,5,35.90000000000026,0.30000000000000004,806,0.5,30,56,3,70,0.0,0.0,0.0,856,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,94,1.9000000000000006,62,9,13.699999999999987,1.0999999999999999,537,0.1,31,212,3,98,0.0,0.0,0.0,856,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,37,1.6000000000000003,-55,16,44.40000000000038,0.5,80,0.6,2,177,1,24,0.0,0.0,0.0,860,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
