EncodingTarget,ManualThreads,crf,no_asm,no_cabac,no_mbtree,no_scenecut,qp,Threads,aq_strength,b_bias,bframes,crfRatio,ipratio,keyint,qcomp,qpSetting,rc_lookahead,ref,scenecut,e,S,U,M,t,K,D,p,X,Z,I,O,r,s,k,x,e_mad,S_mad,U_mad,M_mad,t_mad,K_mad,D_mad,p_mad,X_mad,Z_mad,I_mad,O_mad,r_mad,s_mad,k_mad,x_mad
1,1,0,1,1,1,1,1,11,1.2,79,1,21.00000000000005,0.9999999999999999,422,0.2,35,185,2,3,8.35,0.14,5.75,10132,0,0,0,0,0,4096,0,112,0,0,0,0,0.95000000000000107,0.0099999999999999811,0.030000000000000249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,0,0,62,5,35.90000000000026,0.30000000000000004,806,0.5,30,56,3,70,15.17,0.12,10.09,7964,0,0,0,0,0,4096,0,88,0,0,0,0,2.2099999999999991,0.010000000000000009,0.019999999999999574,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,94,1.9000000000000006,62,9,13.699999999999987,1.0999999999999999,537,0.1,31,212,3,98,9.35,0.23,10.52,68808,0,0,0,0,0,4096,0,64,0,0,0,0,1.1500000000000004,0.01999999999999999,0.0099999999999997868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,37,1.6000000000000003,-55,16,44.40000000000038,0.5,80,0.6,2,177,1,24,67.5,0.5,44.46,33484,0,0,0,0,0,4096,0,38304,0,0,0,0,0.51999999999999602,0.010000000000000009,0.030000000000001137,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19424.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,11,1.2,79,1,21.00000000000005,0.9999999999999999,422,0.2,35,185,2,3,0.0,0.0,0.0,860,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,0,0,62,5,35.90000000000026,0.30000000000000004,806,0.5,30,56,3,70,0.0,0.0,0.0,860,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,94,1.9000000000000006,62,9,13.699999999999987,1.0999999999999999,537,0.1,31,212,3,98,0.0,0.0,0.0,860,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,37,1.6000000000000003,-55,16,44.40000000000038,0.5,80,0.6,2,177,1,24,0.01,0.0,0.0,856,0,0,0,0,0,4096,0,0,0,0,0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
